employer_name,count
РН-Аэро,10
КБ Пойдём!,2
СБЕР,52
Яндекс Крауд,23
Газпром нефть,11
ГОСАПТЕКА,6
Винлаб,67
Главное управление МЧС России по Приморскому краю,7
Компания Группа компаний Реми,71
Альфа-Банк,17
Мобильный Ритейл,35
Бубль-Гум,19
Манчжур-Морская шип-чандлерская служба,8
Алеут фирменная розничная сеть Ратимир,70
100ДЕЛ,12
Тинькофф,172
КЛЕВЕР,6
Яндекс,64
Альфа-Кар ТРАК,28
Группа компаний ТАФИ,5
Домовид,21
Розничная сеть МТС,17
ДРСК Приморские электрические сети,57
ГЛОРИЯ ДЖИНС,27
Апекс Групп,22
LiteJob,44
Дружин Игорь Станиславович,30
Ростелеком,88
BELUGA GROUP,23
ФинДоставка,2
Тереховский ЗБИ,38
"Бристоль, сеть магазинов",25
Русский минтай,36
ААК ПРОГРЕСС,69
BY business group,9
Банк ВТБ (ПАО),6
Развлекательный комплекс Tigre de Cristal,53
Почта России,52
"Российская телевизионная и радиовещательная сеть, ФГУП",4
Вертикаль. Центр подбора персонала,1
Логистик-В,2
СиАрСиСи Рус,21
VLADIVOSTOK Grand Hotel & SPA,23
Розничное направление ГК Невада,44
Райффайзен Банк,9
Финансовая Почта,5
СГМК,13
Мегаполис,59
БУ Березовская районная больница,4
Аптека Миницен,7
Домотехника,33
"Алабуга, ОЭЗ ППТ",14
Уральский оптико-механический завод,1
"Мойдодыр, профессиональная уборка",1
Дальтрансстрой,6
"Красное & Белое, розничная сеть",23
ИНСТОР,7
Антрацитинвестпроект,15
СЗ Вива,5
Аскольд,4
Почта Банк,10
Государственное бюджетное учреждение здравоохранения Калининградской области Балтийская центральная районная больница,6
Специальные технологии контроля,3
Форвард Трейд,5
Эй-Пи Трейд,38
Главное управление Федеральной службы судебных приставов по Приморскому краю,14
Лаборатория Гемотест,8
Мебельная компания «Шатура»,4
Фарматика,5
ГБУЗ ПК БЮРО СМЭ,7
Транзит,40
ITM,2
"ДИЛАН, Группа компаний",39
Универсал,2
Банк Хоум Кредит,8
Группа Компаний «Доброфлот»,56
Приморский завод ЕВРОПЛАСТ,13
Днс Дом,26
Доширак Рус,2
ТехЦентр,6
РАТИМИР,43
Сити Кофе Владивосток,5
Бонжур,10
Группа компаний Невада,19
Деловые Линии,15
Владсклад,1
Спортмастер,7
Форейн-Трейд,7
Группа компаний Автомотив,2
ГК ВЛ Лоджистик,12
ГК Центр Кровли,10
Торговый дом Лазурит,15
Гефест-ДВ,8
Медсправка (ООО УК Востокмедгрупп),12
Представитель компании ООО Альянс,2
МКУК ЦСКДУ,6
Форсавто,13
ДСК Приморье,20
DNS Головной офис,29
Premium Groom,1
Ди-Ай-Вай Сервис,4
Додо Пицца (ООО Рокет Пицца),10
Аэропорт Девелопмент,4
Модуль,10
Русбизнесавто,11
"Гейзер, группа компаний",1
Отличные наличные,6
Капитал Лайф Страхование Жизни,3
Гратион,1
ANCOR,23
Центр детского здоровья,12
Восток-Лидер,2
БИГЦЕНТР,3
Ренессанс Банк,2
Группа компаний PACK&FLY,3
Невод,25
Леруа Мерлен,18
Химсервис,4
Компания ПЭК,10
Торговый Дом Аквадом,8
Маренко Александра Владимировна,2
САМСАН,1
Строительная компания КОВЧЕГ,14
Хладокомбинат Заречный,16
ГК Пасифик,1
Группа компаний Альянс,7
Гостиница Мираж,1
Сеть магазинов цифровой и бытовой техники DNS,47
Движение,3
СтальГрад,51
Сталепромышленная компания,40
Траклайнер ДВ,1
Дикси,15
Тотал-Трейд,4
Технология Карьеры,11
Мартен,11
Завод Кпд 100,2
ТАНДЕМ ТРЭК,1
Фасадэна,2
КДВ Групп,11
РОСБАНК,5
ГК Сибирь Профиль (ООО Практичные двери),1
Дез-Центр,4
Корона Авто,6
ВИГ,1
ГудФуд,23
ДКС,2
НАО Шамбала,21
Величко Вадим Викторович,2
Первый Парфюмерный,1
ЛогЛаб,1
АртГЕО-ДВ,5
Компания Мир упаковки,10
Владсинтез,4
Центр бухгалтерского обслуживания,1
Хабаровская ремонтно-монтажная компания,6
ОптПромТорг,2
ВладВитрина,1
Компания Санвэй,3
Альтэк Дв,11
Феррум,3
Добрострой ДВ,2
Строительная компания Куб,3
ОСГ Рекордз Менеджмент,1
М.Видео-Эльдорадо,17
СберЛогистика,5
МПК (Призыванет.Ру),2
"STS Logistics, Холдинг",1
СДС Строй ДВ филиал,37
ТРК Приморское Кольцо,3
Деловые люди,29
Putin Team Russia,1
Кайрос,8
FM Logistic,1
Золотое Время Дальний Восток,4
КГБУЗ Находкинская ГБ,21
Автомаркет Гамма,2
Джел Ко,3
Кацура Павел Юрьевич,1
РосДеньги,2
Федеральная сетевая компания – Россети,9
Арт-парк Штыковские пруды,10
Энергомаркет,2
Восхождение,3
ЛГ Машинери,1
,1
СДЭК,5
ИК Ренессанс Групп,1
Морской порт Суходол,8
Купи Для Дома,1
ДВ-АРС,1
Краевой центр охраны труда,14
Эксполес,9
"Бубль Гум, Розничная сеть",3
Реноме,11
Международный аэропорт Владивосток,21
Агроресурсы,4
"Развитие 2000, Финансово-консалтинговая группа",10
Востокнефтепродукт,21
Газпром гелий сервис,9
Владлинк,4
Мелодия здоровья,1
Приморский Торговый Центр,2
Помощник,1
Золотая мозаика,9
Совкомбанк,23
АТЭК,26
Самолет Плюс,1
Логфаст,6
Группа компаний Юнион Владивосток,4
Детский Мир,7
Мельниченко В.И. Производственный комплекс Серышевский,2
Авторитет Спецтехно,1
БВТ БАРЬЕР РУС,1
Твой Друг,8
"Сантехкомплект, Компания",1
Торговый Дом Морозова,5
Форум-Авто,4
Группа Компаний Регион,7
Филиал Дальневосточный ООО ЛокоТех-Сервис,10
Управление перспективных технологий,1
Олимпинвест,1
Чупров Алексей Вячеславович,5
Проект,47
Атлантикс констракшн,3
Автотехника,2
Репласт,4
Белый Кролик (ИП Оникиенко Роман Евгеньевич),13
Влад Рейс,26
Атлас,1
Дельта Сервис,1
Спецавтострой-Дв,1
Альянсгрупп,2
Дорсервис Владивосток,1
АВАНТ,1
Шепелева Кристина Андреевна,1
Аида,1
Газпром газораспределение Дальний Восток,4
Дальневосточный банк,9
Сфера Менеджмент,23
ОМС,3
WILDBERRIES,1
Новая Торговая Компания,1
Спецстройтехника,1
Российские железные дороги,54
Охотская Горно-Геологическая Компания,27
Завод Котельного Оборудования Дальстам,1
ТД Традиции,13
Золотодобывающая Экономическая Компания,1
Дальневосточная Транспортная Компания,3
ФГБУН Ботанический сад-институт Дальневосточного отделения Российской академии наук,1
Т.Б.М.,2
SOKOLOV,1
"AROUND, Группа компаний",2
"РИВ ГОШ, Сеть магазинов",1
ФГБОУ Всероссийский детский центр Океан,2
Алкогольная Сибирская группа,1
Примспецстрой,2
Владивостокский Бутощебёночный Завод,5
Лиан,1
Группа компаний Техсервис,5
Интеллект-Инжиниринг,2
Компания Арсенал,3
Сдэк-Артем,1
Промстрой,13
Капран Любовь Анатольевна,2
Релакс,9
Highland Gold,5
"АРК ПЕРСОНАЛ, Кадровое агентство",5
"Проспект,ООО кадровое агентство",3
РОССКО,5
Клиника слуха Аудионика,6
ГЦ ТЕХНО,1
НОУДО ОЦ Лингва-Плюс,4
Раташнюк Денис Анатольевич,1
ГК Юником,1
ГК Черноголовка,1
Газхолодтехнология,2
ДГК,13
ЕВРАЗ,1
Тренд Про Плюс,7
Ozon,4
Нова-Безопасность,24
Адвант,2
3М,1
Островлогистик,1
Завод ВРК Сапфир,16
RBT.ru,10
Пенжинская горная компания,7
Дальний,1
РУЛОГ,1
Продинвест,1
ТД ВИК,15
Мултон Партнерс,1
КАРИ,9
Афродита,1
Терминал,1
Разрез Полтавский,4
АгроПтица,5
Работа Центр,6
Импорт Лубрикантс,1
Агроимпорт ДВ,1
Айс Юнион,4
УМВД России по Приморскому краю,4
Квазар,5
BeBrand (ООО Бизбренд),1
ЦЕНТРОФИНАНС,5
Русклимат,1
Строительная компания Никос-сервис,1
Образовательное учреждение Дальневосточный федеральный университет,10
Мак Ольга Викторовна,1
Мегаполис Групп,1
Рустрейд Компани,3
Новые решения,1
Хромов Владимир Юрьевич,1
ГБУЗ Южно-Курильская ЦРБ,5
ББР Банк,2
Эйсаир,2
ВЕЛЕС-СНЕК,3
Сервис ДВ,4
Группа компаний OPEN,5
Ventra,2
ОРЦ Приморье,5
Галстян Айк Суренович,2
Группа компаний ГЛОБАЛ,1
Хуан И (Рус),1
Планограмма,2
Стис,14
"Московский филиал Китайской компании коммуникаций и строительства, ОП Приморский",1
СТРОИТЕЛЬНАЯ КОМПАНИЯ ЗЕНИТ,2
Судостроительный комплекс Звезда,163
Госкапстрой,7
КГБУЗ Городская больница № 7 министерства здравоохранения Хабаровского края,7
Техмаш,3
Комсомольскэнергомонтаж,11
FIT SERVICE,9
Аксиома-СК,3
ДВЗ ЗВЕЗДА,28
Литона,11
АТМ АЛЬЯНС,5
ДВСК-Инжиниринг,1
Китайская компания коммуникаций и строительства,35
СМАРТ,1
БалтТехМаш,2
Татспиртпром,2
"Владторг, филиал в г.Находка",25
Staff-UP Consulting Group,3
Выборгский судостроительный завод,2
Общество с ограниченной ответственностью Свис Инжиниринг Груп,24
Русский холод,2
Пятёрочка,51
ЦКБ «Айсберг»,1
Воропай Евгений Юрьевич,1
KHAN,3
Ювелирный дом Золотая Русь,2
Маяк,2
Веллдан,2
Порт Вера,2
Полюс Групп,3
ГАУ СО Агентство по развитию человеческого капитала,3
"СНС, Группа компаний",13
Правительство Приморского Края,4
Донхэ и энд ти рус,1
Мой Бизнес,5
Чудновец Инна Викторовна,2
Железобетон-5,2
Ремос,1
Суши-Маркет,3
"Китайская компания коммуникаций и строительства, Обособленное подразделение 1",1
Стройэнергохолдинг,1
Эвриал,1
Горно-металлургический комплекс Дальполиметалл,35
УК ХАС ГРУПП,2
Азиатско-Тихоокеанский Банк,6
Техстрой,23
Амур Золото,1
ДЭТРА,3
Холдинг Селигдар,4
ГБУЗ Нововасильевская Районная Больница,2
Озерное,14
Русолово,4
Артель старателей Амур,2
Быстринская горная компания,3
Холдинг Монастырев,20
RFP Group,7
ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК,5
Сибирская генерирующая Компания,11
Голд Стандарт,1
Happy Group,1
Золото Дельмачик,4
Славинвестстрой,8
ЮНИЛАБ,7
ПКБ,4
Амуруголь,9
СервисМонтажСтрой,1
Дальнефтепродукт,5
Эссен Продакшн АГ,5
ВДК,4
Алкомаркет Столица,6
Подшипник-Сервис ДВ,1
Институт Оргэнергострой,4
МТС,17
СКБ Приморья Примсоцбанк,12
Бамстройуниверсал,3
КГБУЗ Лесозаводская ЦГБ,30
Дисконт Мебель,1
Империя Строй,12
Спутниковое ТВ МТС,1
Вкусно — и точка,6
Находкинский судоремонтный завод,27
МегаФон,12
ТетраТранс,1
ВУТ,1
РН-Морской терминал Находка,22
Полищук Александра Александровна,16
MX group,12
Автотрейд,6
Терминал Астафьева,11
Global Ports Management,5
Потолки Для Вас,1
ПТБ Регион,1
Восток 27,1
НТК,8
Binggrae (ИП Леонова Наталья Викторовна),2
КОУЛСТАР,7
Роснефтефлот,1
ГБУЗ Областная больница г. Троицк,7
Деньга,2
Грин Си Транспорт,3
Yusen Logistics Rus (Юсен Лоджистикс Рус ),2
НЗМУ,10
Нужные люди,5
СОЮЗХИМТРАНС ИНТЕРНЕШИНЕЛ,3
Солощенко Кристина Игоревна,1
МУП Находка-Водоканал,12
сеть пекарен Мамин хлеб ИП Киндурис А.А.,1
Хуа Синь Лайнс,2
АБРО,5
Фуд Продактс,2
СК Гранит,6
MusFamily,2
Атранс ДВ,1
Юрист Для Людей,2
Орион-Экспресс,2
Торговая Сеть ТехноНИКОЛЬ,1
Валта,2
ПИКАССО,1
ЮК Зенит,1
Восточная горнорудная компания,1
Управляющая компания КамчатЖКХ,2
КолымаДорСтрой,2
Науменко Полина Александровна,1
Аптека25,4
Находкинский морской рыбный порт,7
МТС Банк,4
Порт Восточные ворота - Приморский Завод,3
Акросс Логистические Решения,1
Профиткар,1
СК Ренессанс Жизнь,4
OSTIN,7
Недвижимость Находка,1
Алексей Бакшеев,1
Рускон,1
Григорьев Анатолий Юрьевич,3
Суши Мастер,5
ФГУП Росморпорт,4
Гусев Иван Сергеевич,1
Сфера ДВ,2
РБ-Групп,7
Аксесс-А.С.К.,3
Морской Траст,4
Jobers,5
Модус,3
Администрация Находкинского городского округа,1
SVA-Service,2
Находкинский морской торговый порт,7
УК «КИЛОНОВА»,2
Порт Ванино,10
Бюро Веритас Русь,1
СК Северная Гавань,5
Инсофт,5
ПСК Теплый дом,1
Abi,3
Морское агентство Шельф-Флот,2
Находкинский городской суд Приморского края,1
Юнитрейд,4
КГКУ «Приморский центр занятости населения».,5
ZOLLA,2
Владхлеб,14
Глобал Эко,2
Хорошая погода,3
Усть-СреднеканГЭСстрой,6
Находкинская база активного морского рыболовства,1
АМУР МАСТЕР,2
Айкрафт,3
Куимов Станислав Сергеевич,1
ХСО,1
СахМП,1
ДжетСет,2
Владимир 1,5
Дюна Плюс,1
Дальневосточная танкерная компания,1
Промышленная Медицина,2
РН-Пожарная безопасность,3
Подключение водителей к сервису Максим,2
Ледивилль,2
Ледовских О.В.,1
"Форвард, Строительная компания",3
Бридж Лоджистикс,1
Тахосервис,4
Энергосфера,4
Трест Гидромонтаж,1
"Успех, Кадровое агентство",10
ИК СИБИНТЕК,1
SUNLIGHT/САНЛАЙТ,3
Инновационный Центр Разработок Находка,1
Марлен (ООО Антаресгрупп),4
Астерлин,2
"585, Золотой",2
"ТехИнновации, филиал г. Россошь",1
Рыболовецкая артель Народы Севера,1
English Studio (ИП Сон Алина Григорьевна),1
Хмелевский Михаил,1
Сухой порт Находка,2
ЛЭтуаль,2
Staffwell,1
Промоушен.ру,1
Маскон,2
2ГИС,1
Морское Крюинговое Агентство Партнер,1
Группа Компаний Мечел,3
Дальневосточный экспедитор,6
Группа Компаний РУСАГРО,25
"Эксперт, Дальневосточный центр кадровых технологий",4
Клубный Поселок Александрийский,10
PhotoTime,1
ДОБРОЦЕН,1
Асклепий,2
SGS Vostok Limited,3
Центральный банк Российской Федерации,3
ХМЕЛЬНОЙ МЕРИН магазин разливных напитков,1
Бураза Авто Трейд,1
SmokeDonalds (ИП Мильчаков Анатолий Викторович),1
Газпромбанк,1
Медицинский центр ПРИСКО,1
АльфаСтрахование,1
Автомолл,1
"Содружество, Группа компаний",2
Неоком,1
Желдорэкспедиция-В,1
ПЭК (ИП Кузовов Андрей Романович),3
Premier Basic Professional,1
Средняя Общеобразовательная Школа №22 Находкинского Городского Округа,1
Delko,2
УПТК,1
ИНВИТРО,2
Ветли,3
Ича-фиш,1
FESCO (ПАО Дальневосточное морское пароходство),10
ТЕХСТРОЙКОНТРАКТ,4
НОВОЕ ВРЕМЯ,1
Сибресурс,1
УК Розничные Технологии,1
РЖД-Медицина,1
Альтрад Сервисиз,2
УК ГидроОГК,1
ФармОушен Лаб.,1
АльянсТрансСтрой,3
Крона,3
Железобетон,2
ФорестГранд,3
Втормет-ДВ,5
"Примтеплоэнерго, КГУП",1
Ресурс Групп,2
Майнинг Солюшнс,1
Артель Старателей Архара,5
Владзооторг,1
РемстройГарант,14
ПЛАНЕТА-АВТО,4
Зоопарк Чудесный,1
Профит-Сервис,2
Восток-формат,12
Всеметрия Уссурийск,7
ИКС-РОУД,4
Тен Евгений Александрович,1
Желдорреммаш,9
Лухвич Константин Анатольевич,1
Восток Машинери Групп,2
Группа компаний Агротек,1
Юпитер,1
Монолит Сервис,4
ГЭС-Монтаж,6
Ростпроектмонтаж,1
крылышки ДЖО,1
Лукьянчиков Евгений Валерьевич,1
ГК Фармасинтез,4
ВаниноТрансУголь,1
Миротворец,7
Дальторгсервис,2
Парфюм Компани,2
Голубева Юлия Викторовна,5
Сертифика-ДВ,1
Мега Хенд,6
Меридиан Девелопмент ТЗ,1
Бэст Сервис,2
МК Рефтранс,1
ТОРГОВЫЙ ДОМ «АВТОПРОФИ»,1
Транс Трек-ДВ,2
Нет Износа,2
Акваполис (ИП Барон Надежда Петровна),1
FUNDAY,1
Гончаров Никита Дмитриевич,1
Байкал-Сервис,3
Дальневосточный филиал АО ТК РусГидро,6
Центр Газовых Технологий,1
Сдм-Групп,1
Обытоцкий Сергей Михайлович,1
Восточная Строительная Компания №1,1
"Би Си Ай,ООО",4
Интегратор,2
Сибирская Сервисная Компания,1
Сфера недвижимости (ИП Буравкова Любовь Геннадьевна),1
МКУ Служба единого застройщика заказчика,8
Альто Фарма,1
Магазин АвтоДепо,1
Рефсервис,1
Айтек,3
Гадисов Атеш Махмуд Оглы,1
ZENDEN,6
ПСБ (Промсвязьбанк),2
МаксАвтоПрим,1
Раковское,4
Иванов Егор Сергеевич,7
Райков Евгений Игоревич,1
Априори,3
ДВЗ ЭКОЛОС,6
Новая технология,1
База отдыха Вэлис,1
Йота ДВ,1
Хе Наталья Эдуардовна,2
СКФ Рубин,2
Железнодорожная торговая компания,2
Россельхозбанк,2
VL.RU,3
Компания нек4,1
Доброцен (отдел развития),1
АРТЕКС,1
ПО Трансгаз,5
Канцелярская Крыса,4
Импорт-Прим,1
ФосАгро,1
Комформ,3
Golden Snail,1
СКИФ,1
ТАРГЕТ АГРО,2
George Group,6
ГБУЗ ТО Областная больница № 9 (с.Вагай),2
Стоматологическая клиника Доктор Кан,1
Зайчики-Ритейл,1
Профи Клиник Уссурийск,3
АПК АЛЬЯНС,7
25-Регион,1
ЛТ АГРО ТРЕЙД,1
Владторг,2
Администрация Уссурийского городского округа,2
Специализированный Застройщик Инвестстрой Дв,1
Банк Приморье,1
Сахалин-Инжиниринг,3
Равшанов Рустамжон Муродович,1
ГеоСтрой,6
Кислород,1
Ортомед,1
Regulmoto,4
Protect 360°,1
Эверест,6
Спецстройресурс,5
Кузнецова Елена Петровна,1
НОВОЕ РАДИО ДВ,1
Action,1
Комплект-сервис,1
Спицын Артем Анатольевич,2
Труд,3
РУМС,1
В-Лазер,1
Хотей,1
КФХ Федореева Екатерина Анатольевна,1
СпецСтрой-Восток,5
ТРАНСГАЗ,5
